HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Entrez Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)	UniProt ID(supplied by UniProt)	Ensembl ID(supplied by Ensembl)
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB	10257	NM_001105515	O15439	ENSG00000125257
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C	10057	NM_001023587	O15440	ENSG00000114770
HGNC:40055	ABCC5-AS1			100873982	NR_046570		ENSG00000223882
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	368	NM_001079528	O95255	ENSG00000091262
HGNC:33352	ABCC6P1			653190	NR_003569		ENSG00000256340
HGNC:33353	ABCC6P2			730013	NR_023387		ENSG00000255277
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833	NM_000352	Q09428	ENSG00000006071
HGNC:60	ABCC9		SUR2, CMD1O	10060	NM_005691	O60706	ENSG00000069431
HGNC:52	ABCC10		EST182763, MRP7, SIMRP7	89845	NM_001198934	Q5T3U5	ENSG00000124574
HGNC:14639	ABCC11		MRP8	85320	NM_032583	Q96J66	ENSG00000121270
HGNC:14640	ABCC12		MRP9	94160	NM_033226	Q96J65	ENSG00000140798
HGNC:16022	ABCC13		PRED6, C21orf73, ABCC13P	150000	NR_003087	Q9NSE7	ENSG00000243064
HGNC:61	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	215	NM_000033	P33897	ENSG00000101986
HGNC:62	ABCD1P1			23785	NG_001246		
HGNC:63	ABCD1P2		bA453N3.6	26983	NG_001270		ENSG00000215151
HGNC:64	ABCD1P3			26982	NG_001269		ENSG00000261233
HGNC:65	ABCD1P4			26957	NG_001265		ENSG00000225293
HGNC:42662	ABCD1P5			642762	NG_006974		ENSG00000214330
HGNC:66	ABCD2	ALDL1	ALDR, ALDRP	225	NM_005164	Q9UBJ2	ENSG00000173208
HGNC:67	ABCD3	PXMP1	PMP70, ZWS2	5825	NM_001122674	P28288	ENSG00000117528
HGNC:68	ABCD4	PXMP1L	PMP69, P70R, EST352188	5826	NM_001353591	O14678	ENSG00000119688
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	6059	NM_001040876	P61221	ENSG00000164163
HGNC:70	ABCF1	ABC50	EST123147	23	NM_001025091	Q8NE71	ENSG00000204574
HGNC:53628	ABCF1-DT			107986587	XR_001744078		
HGNC:71	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	10061	NM_005692	Q9UG63	
HGNC:48841	ABCF2P1			344653	NG_022253		ENSG00000242159
HGNC:48842	ABCF2P2			100422059	NG_026596		ENSG00000228769
HGNC:72	ABCF3		EST201864	55324	NM_001351298	Q9NUQ8	ENSG00000161204
HGNC:73	ABCG1		ABC8	9619	NM_004915	P45844	ENSG00000160179
HGNC:74	ABCG2		EST157481, MXR, BCRP, ABCP, CD338	9429	NM_001257386	Q9UNQ0	ENSG00000118777
HGNC:13884	ABCG4		WHITE2	64137	NM_001142505	Q9H172	ENSG00000172350
HGNC:13886	ABCG5		STSL	64240	NM_022436	Q9H222	ENSG00000138075
HGNC:13887	ABCG8		GBD4	64241	NM_001357321	Q9H221	ENSG00000143921
HGNC:17553	ABHD1		LABH1, FLJ36128	84696	NM_032604	Q96SE0	ENSG00000143994
HGNC:18717	ABHD2		LABH2	11057	NM_007011	P08910	ENSG00000140526
HGNC:18718	ABHD3		LABH3	171586	NM_001308256	Q8WU67	ENSG00000158201
HGNC:20154	ABHD4		FLJ12816	63874	NM_022060	Q8TB40	ENSG00000100439
HGNC:21396	ABHD5		CGI-58, NCIE2	51099	NM_001355186	Q8WTS1	ENSG00000011198
HGNC:21398	ABHD6			57406	NM_001320126	Q9BV23	ENSG00000163686
HGNC:23759	ABHD8		FLJ11743, MGC14280, MGC2512	79575	NM_024527	Q96I13	ENSG00000127220
HGNC:25656	ABHD10		FLJ11342	55347	NM_001272069	Q9NUJ1	ENSG00000144827
HGNC:16407	ABHD11	WBSCR21	PP1226	83451	NM_001145364	Q8NFV4	ENSG00000106077
HGNC:18289	ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	171022	NR_026690		ENSG00000225969
HGNC:15868	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090	NM_001042472	Q8N2K0	ENSG00000100997
HGNC:19837	ABHD12B	C14orf29	BEM46L3	145447	NM_001206673	Q7Z5M8	ENSG00000131969
HGNC:20293	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	84945	NM_032859	Q7L211	ENSG00000139826
HGNC:24538	ABHD14A		DKFZP564O243, DORZ1	25864	NM_015407	Q9BUJ0	ENSG00000248487
HGNC:38856	ABHD14A-ACY1			100526760	NM_001316331		ENSG00000114786
HGNC:28235	ABHD14B		MGC15429, CIB	84836	NM_001146314	Q96IU4	ENSG00000114779
HGNC:26971	ABHD15			116236	NM_198147	Q6UXT9	ENSG00000168792
HGNC:49685	ABHD15-AS1		linc-TP53I13, lnc-TP53I13	104355133			ENSG00000264031
HGNC:13921	ABHD16A	BAT5	NG26, D6S82E	7920	NM_001177515	O95870	ENSG00000204427
HGNC:16128	ABHD16B	C20orf135	dJ591C20.1	140701	NM_080622	Q9H3Z7	ENSG00000183260
HGNC:28756	ABHD17A	C19orf27, FAM108A1	MGC5244	81926	NM_001130111	Q96GS6	ENSG00000129968
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	728917	NG_011738		ENSG00000198658
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P		648359	NG_030366		ENSG00000250536
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P		729495	NG_023156		ENSG00000229107
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P		91219	NG_000002		ENSG00000263366
HGNC:34044	ABHD17AP6	FAM108A7P		644988	NG_022988		ENSG00000226981
HGNC:38508	ABHD17AP7	FAM108A8P		100133212	NG_022980		ENSG00000260864
HGNC:38509	ABHD17AP8	FAM108A9P		647144	NG_023021		ENSG00000260540
HGNC:38510	ABHD17AP9	FAM108A10P		100132251	NG_028293		ENSG00000261536
HGNC:24278	ABHD17B	C9orf77, FAM108B1	CGI-67	51104	NM_001025780	Q5VST6	ENSG00000107362
HGNC:26925	ABHD17C	FAM108C1		58489	NM_021214	Q6PCB6	ENSG00000136379
HGNC:26111	ABHD18	C4orf29	FLJ21106	80167	NM_001319305	Q0P651	ENSG00000164074
HGNC:11320	ABI1	SSH3BP1	E3B1, ABI-1	10006	NM_001012750	Q8IZP0	ENSG00000136754
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P		326268	NG_002531		ENSG00000271484
HGNC:24011	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152	NM_001282925	Q9NYB9	ENSG00000138443
HGNC:29859	ABI3		NESH, SSH3BP3	51225	NM_001135186	Q9P2A4	ENSG00000108798
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH	25890	NM_001349329	Q7Z7G0	ENSG00000154175
HGNC:76	ABL1	ABL	JTK7, c-ABL, p150	25	NM_005157	P00519	ENSG00000097007
HGNC:77	ABL2	ABLL	ARG	27	NM_001136000	P42684	ENSG00000143322
HGNC:78	ABLIM1	LIMAB1, ABLIM	abLIM, limatin	3983	NM_001003407	O14639	ENSG00000099204
HGNC:19195	ABLIM2		KIAA1808	84448	NM_001130083	Q6H8Q1	ENSG00000163995
HGNC:29132	ABLIM3		KIAA0843	22885	NM_001301015	O94929	ENSG00000173210
HGNC:79	ABO		A3GALNT, A3GALT1	28	NM_020469	P16442	ENSG00000175164
HGNC:81	ABR		MDB	29	NM_001092	Q12979	ENSG00000159842
HGNC:30655	ABRA		STARS	137735	NM_139166	Q8N0Z2	ENSG00000174429
HGNC:21230	ABRACL	C6orf115	PRO2013, HSPC280, Costars	58527	NM_021243	Q9P1F3	ENSG00000146386
HGNC:25829	ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	84142	NM_001345962	Q6UWZ7	ENSG00000163322
HGNC:28975	ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	23172	NM_032182	Q15018	ENSG00000165660
HGNC:17369	ABT1		Esf2	29777	NM_013375	Q9ULW3	ENSG00000146109
HGNC:39557	ABT1P1			100420695	NG_025142		ENSG00000250496
HGNC:18275	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	80325	NM_032548	Q969K4	ENSG00000114626
HGNC:23842	ABTB2		DKFZP586C1619, BTBD22, ABTB2A	25841	NM_145804	Q8N961	ENSG00000166016
HGNC:82	ACAA1			30	NM_001130410	P09110	ENSG00000060971
HGNC:83	ACAA2		DSAEC	10449	NM_006111	P42765	ENSG00000167315
HGNC:84	ACACA	ACAC, ACC	ACC1	31	NM_198834	Q13085	ENSG00000278540
HGNC:85	ACACB		HACC275, ACC2, ACCB	32	NM_001093	O00763	ENSG00000076555
HGNC:87	ACAD8			27034	NM_014384	Q9UKU7	ENSG00000151498
HGNC:21497	ACAD9		NPD002, MGC14452	28976	NM_014049	Q9H845	ENSG00000177646
HGNC:21597	ACAD10		MGC5601	80724	NM_001136538	Q6JQN1	ENSG00000111271
HGNC:30211	ACAD11		FLJ12592	84129	NM_032169	Q709F0	ENSG00000240303
HGNC:88	ACADL		LCAD, ACAD4	33	NM_001608	P28330	ENSG00000115361
HGNC:89	ACADM		MCAD, MCADH, ACAD1	34	NM_000016	P11310	ENSG00000117054
HGNC:90	ACADS		SCAD, ACAD3	35	NM_000017	P16219	ENSG00000122971
HGNC:91	ACADSB		SBCAD, ACAD7	36	NM_001330174	P45954	ENSG00000196177
HGNC:92	ACADVL		VLCAD, LCACD, ACAD6	37	NM_000018	P49748	ENSG00000072778
HGNC:319	ACAN	MSK16, CSPG1, AGC1	CSPGCP	176	NM_001135	P16112	ENSG00000157766
HGNC:16467	ACAP1	CENTB1	KIAA0050	9744	NM_014716	Q15027	ENSG00000072818
HGNC:16469	ACAP2	CENTB2	KIAA0041, CNT-B2	23527	NM_012287	Q15057	ENSG00000114331
HGNC:41426	ACAP2-IT1			100874306			ENSG00000229325
HGNC:16754	ACAP3	CENTB5	KIAA1716	116983	NM_030649	Q96P50	ENSG00000131584
HGNC:93	ACAT1	ACAT	THIL	38	NM_000019	P24752	ENSG00000075239
HGNC:94	ACAT2			39	NM_001303253	Q9BWD1	ENSG00000120437
HGNC:15453	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	64746	NM_022735	Q9H3P7	ENSG00000182827
HGNC:40701	ACBD3-AS1		RP11-275I14.4	107985353	NR_146443		ENSG00000234478
HGNC:23337	ACBD4		FLJ13322	79777	NM_001135705	Q8NC06	ENSG00000181513
HGNC:23338	ACBD5		DKFZp434A2417, KIAA1996	91452	NM_001042473	Q5T8D3	ENSG00000107897
HGNC:23339	ACBD6		MGC2404	84320	NM_032360	Q9BR61	ENSG00000230124
HGNC:17715	ACBD7		FLJ38219, bA455B2.2	414149	NM_001039844	Q8N6N7	ENSG00000176244
HGNC:23989	ACCS		PHACS, ACS	84680	NM_001127219	Q96QU6	ENSG00000110455
HGNC:34391	ACCSL			390110	NM_001031854	Q4AC99	ENSG00000205126
HGNC:25070	ACD		Ptop, Pip1, Tpp1, Tint1	65057	NM_001082486	Q96AP0	ENSG00000102977
HGNC:2707	ACE	DCP1	ACE1, CD143	1636	NM_000789	P12821	ENSG00000159640
HGNC:13557	ACE2			59272	NM_021804	Q9BYF1	ENSG00000130234
HGNC:44365	ACE3P			100129123	NG_016186		ENSG00000224353
HGNC:18356	ACER1	ASAH3		125981	NM_133492	Q8TDN7	ENSG00000167769
HGNC:23675	ACER2	ASAH3L	FLJ41587, ALKCDase2	340485	NM_001010887	Q5QJU3	ENSG00000177076
HGNC:16066	ACER3	PHCA	FLJ11238, APHC	55331	NM_001300953	Q9NUN7	ENSG00000078124
HGNC:108	ACHE	YT		43	NM_000665	P22303	ENSG00000087085
HGNC:17066	ACIN1	ACINUS	KIAA0670, fSAP152	22985	NM_001164814	Q9UKV3	ENSG00000100813
HGNC:4035	ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	2532	NM_001122951	Q16570	ENSG00000213088
HGNC:1565	ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	1238	NM_001296	O00590	ENSG00000144648
HGNC:23692	ACKR3	CMKOR1, CXCR7	RDC1, GPR159	57007	NM_020311	P25106	ENSG00000144476
HGNC:1611	ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554	NM_016557	Q9NPB9	ENSG00000129048
HGNC:114	ACLS			46			
HGNC:115	ACLY		ATPCL, CLATP, ACL	47	NM_001096	P53396	ENSG00000131473
HGNC:19288	ACMSD			130013	NM_001307983	Q8TDX5	ENSG00000153086
HGNC:117	ACO1	IREB1	IRP1, IREBP	48	NM_001278352	P21399	ENSG00000122729
HGNC:118	ACO2		ACONM	50	NM_001098	Q99798	ENSG00000100412
HGNC:33904	ACOD1	IRG1	CAD	730249	NM_001258406	A6NK06	ENSG00000102794
HGNC:33128	ACOT1		ACH2, CTE-1, LACH2	641371	NM_001037161	Q86TX2	ENSG00000184227
HGNC:18431	ACOT2		Mte1, ZAP128	10965	NM_006821	P49753	ENSG00000119673
HGNC:19748	ACOT4		FLJ31235, PTE-Ib, PTE2B	122970	NM_152331	Q8N9L9	ENSG00000177465
HGNC:33159	ACOT6	C14orf42		641372	NM_001037162	Q3I5F7	ENSG00000205669
HGNC:24157	ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332	NM_007274	O00154	ENSG00000097021
HGNC:15919	ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	10005	NM_005469	O14734	ENSG00000101473
HGNC:17152	ACOT9		CGI-16, MT-ACT48, ACATE2	23597	NM_001033583	Q9Y305	ENSG00000123130
HGNC:18156	ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027	NM_015547	Q8WXI4	ENSG00000162390
HGNC:24436	ACOT12		Cach, THEAL, STARD15	134526	NM_130767	Q8WYK0	ENSG00000172497
HGNC:20999	ACOT13	THEM2	HT012	55856	NM_001160094	Q9NPJ3	ENSG00000112304
HGNC:119	ACOX1		PALMCOX	51	NM_001185039	Q15067	ENSG00000161533
HGNC:120	ACOX2		BRCACOX, BRCOX, THCCox	8309	NM_003500	Q99424	ENSG00000168306
HGNC:121	ACOX3			8310	NM_001101667	O15254	ENSG00000087008
HGNC:25621	ACOXL		FLJ11042	55289	NM_001142807	Q9NUZ1	ENSG00000153093
HGNC:41112	ACOXL-AS1			400997	NR_122074		ENSG00000204581
HGNC:122	ACP1		HAAP, LMW-PTP, LMWPTP	52	NM_001040649	P24666	ENSG00000143727
HGNC:123	ACP2		LAP	53	NM_001302489	P11117	ENSG00000134575
HGNC:14376	ACP4	ACPT		93650	NM_033068	Q9BZG2	ENSG00000142513
HGNC:124	ACP5		TRAP, HPAP	54	NM_001111034	P13686	ENSG00000102575
HGNC:29609	ACP6		LPAP, ACPL1	51205	NM_001323625	Q9NPH0	ENSG00000162836
HGNC:33781	ACP7		FLJ16165, PAPL1, PAPL	390928	NM_001004318	Q6ZNF0	ENSG00000183760
HGNC:125	ACPP		ACP3, ACP-3, PAP	55	NM_001099	P15309	ENSG00000014257
HGNC:126	ACR			49	NM_001097	P10323	ENSG00000100312
HGNC:17195	ACRBP		SP32, OY-TES-1, CT23	84519	NM_032489	Q8NEB7	ENSG00000111644
HGNC:127	ACRV1		SPACA2, SP-10, D11S4365	56	NM_001612	P26436	ENSG00000134940
HGNC:29567	ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205	NM_001199377	Q96GR2	ENSG00000103740
HGNC:24174	ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	81616	NM_001289177	Q5FVE4	ENSG00000130377
HGNC:26101	ACSF2		FLJ20920, ACSMW	80221	NM_001288968	Q96CM8	ENSG00000167107
HGNC:27288	ACSF3			197322	NM_001127214	Q4G176	ENSG00000176715
HGNC:3569	ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	2180	NM_001286708	P33121	ENSG00000151726
HGNC:3570	ACSL3	FACL3	ACS3, PRO2194	2181	NM_001354158	O95573	ENSG00000123983
HGNC:3571	ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	2182	NM_001318509	O60488	ENSG00000068366
HGNC:16526	ACSL5	FACL5	ACS5, ACS2	51703	NM_016234	Q9ULC5	ENSG00000197142
HGNC:16496	ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	23305	NM_001009185	Q9UKU0	ENSG00000164398
HGNC:18049	ACSM1	BUCS1	MACS1	116285	NM_001318890	Q08AH1	ENSG00000166743
HGNC:32017	ACSM2A	ACSM2	A-923A4.1, MGC150530	123876	NM_001308169	Q08AH3	ENSG00000183747
HGNC:30931	ACSM2B	ACSM2	HXMA, HYST1046	348158	NM_001105069	Q68CK6	ENSG00000066813
HGNC:10522	ACSM3	SAH	SA	6296	NM_005622	Q53FZ2	ENSG00000005187
HGNC:32016	ACSM4			341392	NM_001080454	P0C7M7	ENSG00000215009
HGNC:26060	ACSM5		FLJ20581	54988	NM_001324371	Q6NUN0	ENSG00000183549
HGNC:51295	ACSM5P1			100421779	NG_026352		ENSG00000260762
HGNC:31665	ACSM6	C10orf129	bA310E22.3	142827	NM_207321	Q6P461	ENSG00000173124
HGNC:16091	ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	84532	NM_001252675	Q9NUB1	ENSG00000154930
HGNC:15814	ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	55902	NM_001076552	Q9NR19	ENSG00000131069
HGNC:24723	ACSS3		FLJ21963	79611	NM_001330242	Q9H6R3	ENSG00000111058
HGNC:129	ACTA1	ACTA	NEM3	58	NM_001100	P68133	ENSG00000143632
HGNC:130	ACTA2		ACTSA	59	NM_001141945	P62736	ENSG00000107796
HGNC:45169	ACTA2-AS1		uc001kfo.1, ZXF1	100132116	NR_125373		ENSG00000180139
HGNC:132	ACTB			60	NM_001101	P60709	ENSG00000075624
HGNC:17780	ACTBL2		DKFZp686D0972	345651	NM_001017992	Q562R1	ENSG00000169067
HGNC:134	ACTBP1			643309	NG_022596		ENSG00000229145
HGNC:135	ACTBP2			62	NG_003019		ENSG00000213763
HGNC:136	ACTBP3			63	NG_016990		
HGNC:137	ACTBP4			64	NG_003020		
HGNC:139	ACTBP6			66	NG_008793		ENSG00000203413
HGNC:140	ACTBP7			67	NG_002724		ENSG00000185607
HGNC:141	ACTBP8		ACTBP2	68	NG_000840		ENSG00000220267
HGNC:142	ACTBP9			69	NG_003162		ENSG00000266920
HGNC:31819	ACTBP10			446207	NG_032756		
HGNC:33971	ACTBP11			644220	NG_007577		ENSG00000188460
HGNC:150	ACTBP12	ACTGP5		100462767	NG_026958		ENSG00000233125
HGNC:44626	ACTBP13			389120	NG_028183		ENSG00000234667
HGNC:45086	ACTBP14			389976	NG_022182		ENSG00000229001
HGNC:143	ACTC1	ACTC	CMD1R	70	NM_005159	P68032	ENSG00000159251
HGNC:144	ACTG1	ACTG, DFNA20, DFNA26		71	NM_001199954	P63261	ENSG00000184009
HGNC:146	ACTG1P1	ACTGP1, ACT1GP1		73	NG_001068		ENSG00000178631
HGNC:147	ACTG1P2	ACTL2, ACTGP2		74	NG_000841		ENSG00000229129
HGNC:148	ACTG1P3	ACTGP3		75	NG_000842		ENSG00000215388
HGNC:149	ACTG1P4	ACTGP4		648740	NR_024438		ENSG00000236085
HGNC:151	ACTG1P6	ACTGP6		78			
HGNC:152	ACTG1P7	ACTGP7		79			
HGNC:153	ACTG1P8	ACTGP8		80			
HGNC:154	ACTG1P9	ACTGP9		82	NG_001069		ENSG00000229349
HGNC:155	ACTG1P10	ACTL1, ACTGP10		83	NG_003039		ENSG00000231340
HGNC:37651	ACTG1P11			414754	NG_004636		ENSG00000229465
HGNC:44496	ACTG1P12			100418921	NG_011728		ENSG00000226642
HGNC:49058	ACTG1P13			100418920	NG_025603		ENSG00000241305
HGNC:49751	ACTG1P14			100418910	NG_023870		ENSG00000230581
HGNC:51495	ACTG1P15			100418951	NG_025296		ENSG00000259904
HGNC:51496	ACTG1P16			100418960	NG_026370		ENSG00000260298
