Entry	Entry name	Gene names  (primary )
L0R819	ASURF_HUMAN	ASDURF
P98196	AT11A_HUMAN	ATP11A
P50993	AT1A2_HUMAN	ATP1A2
Q13733	AT1A4_HUMAN	ATP1A4
P05026	AT1B1_HUMAN	ATP1B1
O14983	AT2A1_HUMAN	ATP2A1
Q93084	AT2A3_HUMAN	ATP2A3
Q01814	AT2B2_HUMAN	ATP2B2
Q5VTU8	AT5EL_HUMAN	ATP5EP2
Q9ULK2	AT7L1_HUMAN	ATXN7L1
O60423	AT8B3_HUMAN	ATP8B3
Q8NBU5	ATAD1_HUMAN	ATAD1
Q9ULI0	ATD2B_HUMAN	ATAD2B
Q9Y2D1	ATF5_HUMAN	ATF5
P18850	ATF6A_HUMAN	ATF6
O95352	ATG7_HUMAN	ATG7
Q9BSB4	ATGA1_HUMAN	ATG101
P20648	ATP4A_HUMAN	ATP4A
Q99766	ATP5S_HUMAN	ATP5S
P56134	ATPK_HUMAN	ATP5J2
Q9NQS1	AVEN_HUMAN	AVEN
O75366	AVIL_HUMAN	AVIL
Q3ZCQ2	AX2R_HUMAN	ANXA2R
Q5VT79	AXA81_HUMAN	ANXA8L1
O15169	AXIN1_HUMAN	AXIN1
O14977	AZIN1_HUMAN	AZIN1
A6NEK1	ARRD5_HUMAN	ARRDC5
Q96QS3	ARX_HUMAN	ARX
P78348	ASIC1_HUMAN	ASIC1
Q9UHC3	ASIC3_HUMAN	ASIC3
P46597	ASMT_HUMAN	ASMT
P17405	ASM_HUMAN	SMPD1
Q9BZE9	ASPC1_HUMAN	ASPSCR1
Q5U4P2	ASPH1_HUMAN	ASPHD1
Q6ICH7	ASPH2_HUMAN	ASPHD2
Q12797	ASPH_HUMAN	ASPH
Q9BXN1	ASPN_HUMAN	ASPN
O60312	AT10A_HUMAN	ATP10A
O94823	AT10B_HUMAN	ATP10B
Q9Y2G3	AT11B_HUMAN	ATP11B
Q8NB49	AT11C_HUMAN	ATP11C
Q9HD20	AT131_HUMAN	ATP13A1
Q9NQ11	AT132_HUMAN	ATP13A2
Q7Z4Y8	AT5L2_HUMAN	ATP5L2
Q5T6C5	AT7L2_HUMAN	ATXN7L2
Q14CW9	AT7L3_HUMAN	ATXN7L3
P17544	ATF7_HUMAN	ATF7
O75143	ATG13_HUMAN	ATG13
Q8WYN0	ATG4A_HUMAN	ATG4A
Q9Y4P1	ATG4B_HUMAN	ATG4B
Q9Y6H3	ATP23_HUMAN	ATP23
P18859	ATP5J_HUMAN	ATP5J
P00846	ATP6_HUMAN	MT-ATP6
O43861	ATP9B_HUMAN	ATP9B
Q5T2N8	ATD3C_HUMAN	ATAD3C
P18848	ATF4_HUMAN	ATF4
Q86TL0	ATG4D_HUMAN	ATG4D
P35670	ATP7B_HUMAN	ATP7B
Q96GD4	AURKB_HUMAN	AURKB
O15144	ARPC2_HUMAN	ARPC2
P15289	ARSA_HUMAN	ARSA
P15848	ARSB_HUMAN	ARSB
P51690	ARSE_HUMAN	ARSE
Q96EG1	ARSG_HUMAN	ARSG
P18440	ARY1_HUMAN	NAT1
P11245	ARY2_HUMAN	NAT2
Q9NQ33	ASCL3_HUMAN	ASCL3
Q7RTU5	ASCL5_HUMAN	ASCL5
Q9NVP2	ASF1B_HUMAN	ASF1B
A6ND91	ASPD_HUMAN	ASPDH
P20933	ASPG_HUMAN	AGA
O75129	ASTN2_HUMAN	ASTN2
Q76L83	ASXL2_HUMAN	ASXL2
Q9Y2Q0	AT8A1_HUMAN	ATP8A1
P98198	AT8B2_HUMAN	ATP8B2
Q8TF62	AT8B4_HUMAN	ATP8B4
Q96DT6	ATG4C_HUMAN	ATG4C
Q7Z3C6	ATG9A_HUMAN	ATG9A
Q9UII2	ATIF1_HUMAN	ATPIF1
P82987	ATL3_HUMAN	ADAMTSL3
P54710	ATNG_HUMAN	FXYD2
Q8N100	ATOH7_HUMAN	ATOH7
Q96SQ7	ATOH8_HUMAN	ATOH8
P51164	ATP4B_HUMAN	ATP4B
P25705	ATPA_HUMAN	ATP5F1A
Q99873	ANM1_HUMAN	PRMT1
O60678	ANM3_HUMAN	PRMT3
Q96LA8	ANM6_HUMAN	PRMT6
Q9NR22	ANM8_HUMAN	PRMT8
Q9NQ90	ANO2_HUMAN	ANO2
Q9BYT9	ANO3_HUMAN	ANO3
Q6NXT1	ANR54_HUMAN	ANKRD54
Q9BZ19	ANR60_HUMAN	ANKRD60
C9JTQ0	ANR63_HUMAN	ANKRD63
E5RJM6	ANR65_HUMAN	ANKRD65
Q7Z6G8	ANS1B_HUMAN	ANKS1B
Q8N8V4	ANS4B_HUMAN	ANKS4B
P50995	ANX11_HUMAN	ANXA11
P08758	ANXA5_HUMAN	ANXA5
